"The bird has black mane, red feet, and white throat, breast, belly and wings.", "The bird has belly. The bird has black mane. The bird has wings. The bird has red feet. The bird has breast. The bird has white throat."
"The bird has shark pointed beak with its crown and nape in black and feet in reddish brown.", "The bird has shark pointed beak with its crown. This bird has nape in black. This bird has feet in reddish brown."
"This bird is all white except for a black cap; has a sharp orange bill and orange webbed feet; tail is split into a v shape.", "This bird is all white except for a black cap. This bird has a sharp orange bill. This bird has orange webbed feet. Tail is split into a v shape."
"The short fat bird has a small straight beak, a white underbelly, and brown colors on the back and wings.", "The short fat bird has a white underbelly. This short fat bird has brown colors on wings. The short fat bird has a small straight beak. This short fat bird has brown colors on the back."
"The bird has a red throat and a red nape along with a black and grey spotted belly.", "The bird has a red throat. The bird has a red nape. The bird has red nape along with a black spotted belly. This bird has red nape along with white spotted belly."
"This bird has a brown feathered crown on its head and gray and yellow feathers", "This bird has yellow feathers. This bird has gray feathers. This bird has a brown feathered crown on its head."
"The bird is blue with a long tail with grey tip.", "The bird is blue with a long tail with grey tip."
"A short beaked bird with a dark gray cheek patch and light gray throat.", "A short beaked bird with a dark gray cheek patch. A short beaked bird with light gray throat."
"A bird with a small pointed bill, and a vivid red head that stands in contrast of its speckled white and black breast.", "A bird with a small pointed bill. A bird with a vivid red head that stands in the contrast of its speckled white breast. A bird with a vivid red head that stands in the contrast of its speckled black breast."
"Medium sized bird that is white all over but has an orange beak and orange gobble.", "Medium sized bird that is white all over. Medium sized bird that has an orange beak. Medium sized bird that has orange gobble."
"The bird has a breast that is red and black as well as a belly that is white.", "The bird has a breast that is red. The bird has a breast that is black. The bird has a belly that is white."
"A small sized bird with a white underbelly and a short, stout bill", "A small sized bird with a white underbelly. A small sized bird with a short stout bill."
"This is a grey bird with yellow feet and a pointy yellow beak.", "This is a grey bird with yellow feet. This is a grey bird with pointy yellow beak."
"This bird has a gray crown, white body, black cheek patch and wings.", "This bird has black cheek patch. This bird has a gray crown. This bird has wings. This bird has white body."
"A swimming bird with a black ace and white and brown feathers.", "A swimming bird with a black ace. A swimming bird with white feathers. A swimming bird with brown feathers."
"This birds head is small compared to its body, its body is brown, and its foot and bill are black.", "Its foot are black. Its bill are black. Its body is brown. This birds head is small compared to its body."
"A yellow bird with a tint of black wings with an average head and sharp beak.", "A yellow bird with a tint of black wings with an average head. A yellow bird with a tint of black wings with sharp beak."
"This is a small bird that is tan, yellow and has black spots or stripes and a black stripe on its head.", "This is a small bird that is tan. This is a small bird that is yellow. This is a small bird that has black spots. This is a small bird that has black stripes. This is a small bird that has a black stripe on its head."
"This bird has a orange head , a black and white body.", "This bird has a orange head. This bird has a black body. This bird has a white body."
"A white breasted bird with yellow wingbars and an orange faded crown.", "A white breasted bird with yellow wingbars. A white breated bird with an orange faded crown."
"This bird has a white belly with a black crown on its head and orange feet.", "This bird has a white belly with a black crown on its head. This bird has orange feet."
"This bird has a large beak and a red breast.", "This bird has a large beak. This bird has a red breast."
"This is a blue bird with cream-colored belly and a short blue bill.", "This is a blue bird with cream colored belly. This is a blue bird with a short blue bill."
"A small orange billed bird with a brown orange crest and white/tan breast.", "A small orange billed bird with a brown orange crest. A small orange billed bird with white tan breast."
"A brown bird with white spots all over, a thin, long beak and white eyebrow and cheek patch.", "A brown bird with white spots all over. A brown bird with a thin long beak. A brown bird with white eyebrow. A brown bird with cheek patch."
"A entirely black bird with red rimmed eyes and a long beak.", "A black bird with red rimmed eyes. A black bird with a long beak."
"This bird has a brown rusty body with black on the top and tail feathers, a black head with red eyes and a black bill.", "This bird has a brown rusty body with black on the top. This bird has tail feathers. This bird has a black head with red eyes. This bird has a black bill."
"This small yellow bird has a gray bill and a white belly.", "This small yellow bird has a gray bill. This small yellow bird has a white belly."
"The neck of the bird is black while the belly is yellow.", "The neck of the bird is black. The belly is yellow."
"The bird has a white body, gray wings, and an orange bill which curves downward.", "The bird has a white body. The bird has gray wings. The bird has an orange bill which curves downward."
"This bird is speckled black , brown and off white.", "This bird is off white. This bird is brown. This bird is speckled black."
"Large, gray toned bird, with scattered white areas, black eyes and bill, light gray feet.", "Large gray toned bird with black eyes. Large gray toned bird with scattered white areas. Large gray toned bird with bill. Large gray toned bird with light gray feet."
"This little bird has a white belly and breast, with a red crown and speckled back.", "This little bird has a white belly. This little bird with speckled back. This little bird has white breast. This little bird with a red crown."
"A bird with a very small pointed bill, rounded cown, and speckled black and white breast.", "A bird with a very small pointed bill. A bird with rounded cown. A bird with speckled black breast. A bird with speckled white breast."
"Large eyed bright bird with yellow and blue as the main colors and black as an accent", "Large eyed bright bird with yellow as the main colors. Large eyed bright bird with blue as main colors. Large eyed bright bird with black as an accent."
"This is a bird with a white belly and breast and blue wings.", "This is a bird with blue wings. This is a bird with a white belly. This is a bird with white breast."
"Small bird with cream underside, pale blue head and body, blue bil, white and black wingbars, yellow primaries.", "Small bird with cream underside. Small bird with pale blue head. Small bird with pale blue body. Small bird with blue bill. Small bird with white wingbars. Small bird with black wingbars. Small bird with yellow primaries."
"This tiny bird is colorful with a long pointed bill, humming wings and shirt feet.", "This tiny bird is colorful with humming wings. This tiny bird is colorful with a long pointed bill. This tiny bird is colorful with shirt feet."
"The bird has curved feet and a small black bill.", "The bird has curved feet. This bird has a small black bill."
"The bird is yellow with a small brown beak.", "The bird is yellow with a small brown beak."
"This whitish bird has bright yellow rectrices, and red and black around its eyes.", "This whitish bird has bright yellow rectrices. This whitish bird has red around its eyes. This whitish bird has black around its eyes."
"This bright little yellow bird has wings of black and yellow, yellow and black coverts, and dark red streaked sides.", "This bright little yellow bird has wings of yellow. This bright little yellow bird has wings of black. This bright little yellow bird has yellow coverts. This bright little bird has black coverts. This britght little bird has dark red streaked sides."
"A red and black bird with a gray bill with a black feet", "A red bird with a gray bill with a black feet. A black bird with a gray bill with a black feet."
"A small yellow bird with gray wings, a small red eye and sharp bill.", "A small yellow bird with a small red eye. A small yellow bird with gray wings. A small yellow bird with sharp bill."
