elapsed,277427,1620065695225,expert
E4JKMU8EQS9S,strike,Umpire called a strike on a pitched ball that batter simply took.
ARIE1Y75ZJKJ,ball,Pitcher threw ball, batter took pitch and umpire called a ball.
V3J4BL156TDO,play,Batter hit pitched ball safely for a single.
AIWTZCBSVDWN,ball,Pitcher threw ball and the batter took it and umpire called it a ball.
B49G6DAXCFYV,strike,Batter swung and pitch and missed the ball which is a strike

ULXMUG5LT18M,strike,Batter swung at pitch and missed ball which is a strike.
6ISZH1W7ZQFX,play,Batter hit ball and it landed safey in outfield for a hit.
W7P54761NRLX,out,Batter hit ball in air and it was caught by right fielder for an out.
45R9XL5Q92UM,out,Batter hit ball and it was caught by second baseman for an out.
XV5SBOCKG78H,out,Batter hit ball in air and it was caught by shortstop for an out.
