elapsed,336766,1619290322703,advanced
90GPN2XCZUOL,play,The batter hit the ball to the outfield where it landed for a base hit.
E1Z16QBI0JUX,strike,The pitch crossed the plate inside of the strike zone and was called a strike by the umpire.
ISF4NUL4CSPQ,out,The batter hit the ball to the outfield where it was caught in the air by the center fielder.
3BVGOV0ZJMAV,strike,The batter swung at the pitch and missed for a strike.
KZ2OXTZ0H88S,play,The batter hit the ball on the ground through the infield and into the outfield for a base hit.
J962G6URECLP,strike,The pitch crossed the plate inside of the strike zone and was called a strike by the umpire.
EZAUZ6WFA8BR,foul,The batter hit the ball out of the field of play for a foul ball.
VOCWWU2VB26O,play,The batter hit the ball out of the park for a home run, which counts as a hit.
XI5BNHYONSFG,out,The batter hit the ball to the outfield where it was caught in the air by the left fielder.
PP0SFI1MZRFL,foul,The batter hit the ball out of the field of play for a foul ball.
