elapsed,1435761,1619293291879,intermediate
CDAE51D9KR9L,play,The batter hit the ball on the ground to the 3rd baseman and reached 1st base before the throw.
XXQZV04IGFUG,foul,The batter hit the ball outside of the field of play.
XBD8IEE9Y1V2,out,The batter hit the ball in the air to the outfield and it was caught on the fly by the center fielder.
L8Q29VIC1SG2,ball,The pitcher threw the ball outside the strike zone. The ball was not throw over the plate and between the shoulders & the knees.
G3OC0TA3JLMQ,play,The ball was hit into the field of play without being caught, ad the batter reached 1st base before the ball arrived.
CDJ2UV72CFMK,play,The ball was hit into the field of play.
SE3PP6LUIE5X,play,The ball was hit into the field of play.
KZROVQ5FF5DP,foul,The batter hit the ball outside of the field of play.
HLUE2INVKWXF,foul,The batter hit the ball outside of the field of play.
6DM4ICZKE7AH,out,The batter hit the ball in the air to the outfield and it was caught on the fly by the outfielder.
