elapsed,253446,1619132466584,expert
RAAYIUZ6SQYV,strike,The ball was pitched and it landed in the strike zone.
SVI9PLS479A7,strike,It was pitched in the strike zone.
KQW8MRX9JOC5,strike,He swung and missed.
O24MIBHPY3WF,strike,He threw it in the strike zone.
GI3LLJIE2L39,play,He grounded out to the pitcher.
2BL1X7N6DATO,ball,It was called a ball.

YGK9GH40QKFE,out,The player grounded out.
DCX5D0CV5AVT,strike,It landed in the strike zone.
EO19IGZE3QHR,ball,It landed outside the strike zone.
YJ9DKED18D5W,strike,He swung and missed.
