elapsed,315504,1620066242629,intermediate
6BMCBTWAUUYZ,play,The batter hit the ball over the shortstop and into center field.
EGBVKQTQ7NAT,strike,it went straight out over home plate where the batter watched it pass into the  catcher's mitt.
DEM4Z244TOB4,strike,it went past the batter's bat and into the catcher's mitt.
LCTLZNCH2YH2,strike,the catcher caught it near the strike zone. The umpire ruled it a strike.
GTAG5JDUUFUI,strike,the batter swung and missed.
8JIXEA3CVT64,foul,the batter hit it up high. It went down the right-field line and out of play.
935C9VELV9MX,foul,the batter hit it back and out of play.
KDFRZOPAH6KN,out,the batter hit it high and out to mid-left where the left-fielder easily caught it.
72HJHBHFVNY9,play,the batter hit a chopper toward the third basement who grabbed it while charging in and threw it to first base for the out.
6WLN4IIE1TW9,ball,the catcher caught it outside of the strike zone. The umpire ruled it a ball.
