elapsed,335829,1619124476991,advanced
MTFPAU2XO031,play,The batter hit the ball on the ground to the second baseman.
FST9PO4D06IT,out,The batter hit the ball to the outfield where it was caught in the air by the right fielder.
F6UD17JGKUZD,strike,The batter swung at the pitch and missed for a strike.
3BV3CHXF4M06,out,The batter hit the ball straight up in the air in foul territory where it was caught by the catcher.
0Y7UXT6WH4K2,play,The batter hit the ball on the ground past a diving shortstop and into the outfield for a hit.
09IIL1GTV6QD,ball,The pitch did not cross the plate inside of the strike zone and was called a ball by the umpire.
VR763JRK4EAA,out,The batter hit the ball to the outfield where it was caught in the air by the center fielder.
EXV8Z3RUOPNH,play,The batter hit the ball on the ground to the shortstop.
KK41J2L9NUW9,strike,The batter swung at the pitch and missed for a strike.
X7BOP02ZV1YB,strike,The batter swung at the pitch and missed for a strike.
