elapsed,797631,1616882273405,intermediate
PL5IKJVGVSLL,strike,it went right across the plate. The batter did not swing and the umpire called strike. 
0JM2IWESD9RA,out,the batter swung and popped into foul territory. The third baseball caught the ball for the out. 
A0ZJ705J8XEH,strike,the batter swung and missed. 
YII0Z6K9Q0QG,strike,the batter swung and missed. 
NMF5JMAMTBPC,ball,it hit the dirt and got away from the catcher. 
2YCYXBUQGIZB,play,the batter swung and connected with the ball, which was caught by the first baseman. 
4RSRO1YFRUCG,play,the batter swung and hit the ball and completed an infield single. 
WKOQFYMK4H6R,none,got the ball back from the catcher. He readied for the next pitch. 
K2YBTRZSXZAO,play,the batter swung and connected with the ball. It was collected by the third baseman who threw to first base for the out. 
RCMYTB1GDJLS,out,the batter swung and hit the ball to center field where it was caught by the center fielder for the out. 
