elapsed,5835977,1619993060853,intermediate
UQ6VZ33Q6SFF,strike,it looked like it was outside the strike zone. But the umpire called it a strike
NBIZRG15J79K,play,the batter swung and hit the ball on the ground
Z2U5FEKZJCLL,strike,the batter swung and missed the ball. The ball was inside the strike zone
L03EY1KVE7QW,out,the batter hit the ball in the air. The fielder caught the ball and it was an out
YKW2QQJNXC0G,strike,the batter swung and missed the ball
5KM27S3YFGHR,play,the batter hit the ball on the ground and it landed inside the fair play area. 
VPQC9PX5YTSX,play,the batter hit the ball on the ground. It was a double play which resulted in two outs.
LC5FSER25FBR,play,the batter swung and hit the ball on the ground. He reached base after the hit
M2O45JED8NOJ,foul,the batter hit the ball outside the fairplay area
RAEJB89Q9EFO,strike,and it was inside the strike zone
