elapsed,566142,1619208894841,advanced
QY2K0UL9Q1FM,strike,it was in the strike zone. The batter did not swing
V2ZN02GVBEBX,none,the video does not load
VIJO5XM71FM6,strike,The batter swung and missed the ball
XHEQI6HJMA1T,strike,The batter swung and missed. The catcher also dropped the ball but tagged the runner out before he reached first base
RV64XQRKJB72,foul,the batter swung hit the pitch but it did not land in the field of play
4HJ1ISF14DU9,foul,the batter hit the ball but it did not land in the field of play
OTKKXONKAX0Y,out,the ball was hit to left field. The left fielder caught the ball in foul ground before the ball hit the ground
9K0N7UTVHQV0,ball,it was outside of the strike zone. The batter did not swing at the pitch
6Z36UT9CQ62X,strike,the hitter swung and missed the ball
NFPZ1KVE1G09,play,it was hit on the ground to the shortstop. He grabbed the ball, stepped on second base to force the runner out and threw to first base to complete the double play
