elapsed,328099,1619208756388,intermediate
3TETQYHASZDT,play,the batter grounded out to first baseman who flipped to the pitcher for the out.
WXCBN7N7LFBO,foul,the batter fouled a pitched behind home plate.
60YES78D7XAH,strike,the batter swung at a pitch outside the strike zone
WZHJWOYDO8GR,ball,the check his swing for a called ball.
G7U5N1BBNMLO,ball,the batter took a called ball.
CIYHBZZO5TAB,foul,the batter swung and fouled off the pitch.
4YZC2J65OZ85,strike,the batter took a called ball.
STUQRHEWS121,foul,the swung at the pitch and fouled it behind home plate.
RUYYQ17AZ4H7,play,the batter hit pitch to infield for a force play and second.
IELY116T995R,play,batter hit ground ball to short right field and was thrown out at first base.
