elapsed,304820,1616791826746,intermediate
0TZNZ97M064S,out,it was hit and caught.
M8CFEFJ59E37,strike,batter struck out.
MB4ST83NRHHX,play,batter hit it into a gap.
UL83L8LKBT9B,out,it was hit to center and caught.
758466QB0QY1,ball,it was outside and not swung at.
Z04RG6TOXVFT,play,the hitter put it in play.
CDY0YQG4TLUU,foul,the ball was fouled straight back.
8POD1WIG4VF1,foul,the batter hit it foul behind the plate.
07Z7JQWDWT9C,strike,batter swung and missed.
MRAQXYAM7DR7,ball,the ball was high and not swung at.
