elapsed,543615,1616791008238,advanced
NKOGBED5P6EV,ball,The ball was up and in but didn't hit him so it was a ball
ZHOGALJ50WPS,out,then the batter hit it up in the air and it was caught
HDWTB6QYM761,foul,then he swung and hit the ball but it didn't stay in play
VU7EWVW6SXZ4,play,then he hit the ball to the third baseman so it was still in play but he was out
04IBCYNK3SHT,foul,then he swung and hit the ball but it went in the stands
VRL9WUQDQITV,play,then he swung and hit to right field and got on first base
BA06AFK72JHH,foul,then the batter swung and made contact but the ball went into the stands and it was foul
NTRDWDO8HAQX,foul,then the batter swung and made contact but hit the ball into the stands and it was foul
N6QCM8C6SCA9,out,then the batter swung and popped the ball up down the third base line and the third baseman was able to catch it
HTS35EOENGYD,ball,then it was too high and the batter didn't swing so it was a ball
