elapsed,1761334,1619675606901,intermediate
DY7CM6G96JZC,foul,the batter barely made contact with the ball and it was caught by the catcher
CHTBF54C3S46,foul,the batter hit the ball but it fell behind the plate into foul territory
00XR9PTEMMYT,strike,the batter didn't swing and the ball was within the strike box
NPGQIUNO9XRA,strike,the batter didn't swing on a strike
9JDT8S5W9DUB,ball,the batter didn't swing, and the ball was far outside the strike zone
JGZYD6L6QVQG,play,the batter hit a ball that hit the ground almost immediately
5X54Z8HBO5T3,ball,the ball was far outside, so the batter didn't swing
O419R8ASW3JK,strike,the ball was in the center of the strike zone and the batter didn't swing
VM2LW2728TS9,ball,the ball was far outside the strike zone, and the batter didn't swing
FARMFH3YMF66,play,the batter hit the ball into the right outfield where it hit the ground before being fielded
