"The batter swung the bat but missed the ball.","The batter swung the bat. The batter missed the ball."
"The ball was not thrown through the strike zone.","The ball was not thrown through the strike zone."
"Additionally, the batter did not swing at the pitch.","The batter did not swing at the pitch."
"The pitch crossed the plate over the top of the strike zone and the umpire called the pitch a ball for being too high.","The pitch crossed the plate over the top of the strike zone. The umpire called the pitch a ball for being too high."
"The pitch crossed the plate in the strike zone.","The pitch crossed the plate in the strike zone."
"The batter did not swing at the pitch and the strike had to be called by the umpire.","The batter did not swing at the pitch. The strike had to be called by the umpire."
"The batter swung and missed, therefore it is a strike.","The batter swung. The batter missed. It is a strike."
"Then the ball went through the strike zone, the batter swung the bat but missed the ball.","The ball went through the strike zone. The batter swung the bat. The batter missed the ball."
"The batter made contact with the ball and sent it into left field, but the outfielder caught the ball before it hit the ground.","The batter made contact with the ball. The batter sent it into left field. The outfielder caught the ball before it hit the ground."
"The batter made contact with the ball and sent it into left field.","The batter made contact with the ball. The batter sent it into left field."
"It would not matter if the ball was in the strike zone because the batter swung and missed.","The batter swung. The batter missed."
"The batter swung and missed, therefore it is a strike.","The batter swung. The batter missed. It is a strike."
"The batter hit the ball into the air, but it crossed into foul territory before landing.","The batter hit the ball into the air. It crossed into foul territory before landing."
"This resulted in a foul ball.","This resulted in a foul ball."
"He hit it outside the foul lines.","He hit it outside the foul lines."
"The batter hit it into foul territory.","The batter hit it into foul territory."
"Then the batter hit it up in the air and it was caught.","The batter hit it up in the air. It was caught."
"The batter hit the ball and the outfielder caught it in the air.","The batter hit the ball. The outfielder caught it in the air."
"The batter hit the ball in play in the air where it was caught mid air by a defender.","The batter hit the ball in play in the air. It was caught mid air by a defender."
"The runner is out because the ball was caught in the air.","The runner is out. The ball was caught in the air."
"The left fielder caught the ball before it hit the ground.","The left fielder caught the ball before it hit the ground."
"This is labeled as a catch because the pitcher threw the ball and the batter hit it towards right field.","This is labeled as a catch. The pitcher threw the ball. The batter hit it towards right field."
"The batter hit the ball in the air to shallow center and the center baseman caught the ball for an out.","The batter hit the ball in the air to shallow center. The center baseman caught the ball for an out."
"The batter made contact with the ball and hit it to left center field.","The batter made contact with the ball. The batter hit it to left center field."
"The ball was not caught by the outfielder and the runner made it to second base without being tagged or forced out.","The ball was not caught by the outfielder. The runner made it to second base without being tagged. The runner made it to second base without being forced out."
"The batter swung and made contact and knocked the ball out of play.","The batter swung. The batter made contact. The batter knocked the ball out of play."
"The player made contact hitting the ball back to the pitcher, but he was thrown out at first.","The player made contact hitting the ball back to the pitcher. He was thrown out at first."
